04:39:38 doubler_9060XT=6%
04:39:41 doubler_9060XT=6%
04:39:44 doubler_9060XT=4%
04:39:48 doubler_9060XT=4% game_9070XT=NA%
04:39:51 doubler_9060XT=4% game_9070XT=NA%
04:39:54 doubler_9060XT=4% game_9070XT=NA%
04:39:57 doubler_9060XT=5% game_9070XT=NA%
04:40:00 doubler_9060XT=8% game_9070XT=NA%
04:40:03 doubler_9060XT=7% game_9070XT=NA%
04:40:06 doubler_9060XT=6% game_9070XT=NA%
04:40:09 doubler_9060XT=5% game_9070XT=1%
04:40:12 doubler_9060XT=5% game_9070XT=0%
04:40:15 doubler_9060XT=4% game_9070XT=0%
04:40:18 doubler_9060XT=4% game_9070XT=0%
04:40:21 doubler_9060XT=4% game_9070XT=0%
04:40:24 doubler_9060XT=7% game_9070XT=0%
04:40:27 doubler_9060XT=4% game_9070XT=0%
04:40:30 doubler_9060XT=4% game_9070XT=0%
04:40:33 doubler_9060XT=4% game_9070XT=0%
04:40:36 doubler_9060XT=4% game_9070XT=0%
04:40:39 doubler_9060XT=5% game_9070XT=0%
04:40:42 doubler_9060XT=4% game_9070XT=0%
04:40:45 doubler_9060XT=4% game_9070XT=0%
04:40:48 doubler_9060XT=4% game_9070XT=0%
04:40:51 doubler_9060XT=4% game_9070XT=0%
04:40:54 doubler_9060XT=7% game_9070XT=0%
04:40:57 doubler_9060XT=6% game_9070XT=0%
04:41:00 doubler_9060XT=4% game_9070XT=0%
04:41:03 doubler_9060XT=4% game_9070XT=0%
04:41:06 doubler_9060XT=4% game_9070XT=0%
04:41:09 doubler_9060XT=4% game_9070XT=0%
04:41:12 doubler_9060XT=4% game_9070XT=0%
04:41:15 doubler_9060XT=4% game_9070XT=0%
04:41:18 doubler_9060XT=4% game_9070XT=0%
04:41:21 doubler_9060XT=4% game_9070XT=0%
04:41:24 doubler_9060XT=4% game_9070XT=0%
04:41:27 doubler_9060XT=4% game_9070XT=0%
04:41:30 doubler_9060XT=4% game_9070XT=0%
04:41:33 doubler_9060XT=4% game_9070XT=0%
04:41:36 doubler_9060XT=4% game_9070XT=0%
04:41:39 doubler_9060XT=4% game_9070XT=0%
04:41:42 doubler_9060XT=4% game_9070XT=0%
04:41:45 doubler_9060XT=4% game_9070XT=0%
04:41:48 doubler_9060XT=4% game_9070XT=0%
04:41:51 doubler_9060XT=4% game_9070XT=0%
04:41:54 doubler_9060XT=4% game_9070XT=0%
04:41:57 doubler_9060XT=4% game_9070XT=0%
04:42:00 doubler_9060XT=4% game_9070XT=0%
04:42:03 doubler_9060XT=4% game_9070XT=0%
04:42:06 doubler_9060XT=4% game_9070XT=0%
04:42:09 doubler_9060XT=4% game_9070XT=0%
04:42:12 doubler_9060XT=4% game_9070XT=0%
04:42:15 doubler_9060XT=4% game_9070XT=0%
04:42:18 doubler_9060XT=4% game_9070XT=0%
04:42:21 doubler_9060XT=4% game_9070XT=0%
04:42:24 doubler_9060XT=4% game_9070XT=0%
04:42:27 doubler_9060XT=4% game_9070XT=0%
04:42:30 doubler_9060XT=4% game_9070XT=0%
04:42:33 doubler_9060XT=4% game_9070XT=0%
04:42:36 doubler_9060XT=4% game_9070XT=0%
04:42:39 doubler_9060XT=5% game_9070XT=0%
04:42:42 doubler_9060XT=5% game_9070XT=0%
04:42:45 doubler_9060XT=9% game_9070XT=0%
04:42:48 doubler_9060XT=16% game_9070XT=0%
04:42:51 doubler_9060XT=14% game_9070XT=1%
04:42:54 doubler_9060XT=7% game_9070XT=1%
04:42:57 doubler_9060XT=5% game_9070XT=1%
04:43:00 doubler_9060XT=5% game_9070XT=5%
04:43:03 doubler_9060XT=6% game_9070XT=11%
04:43:06 doubler_9060XT=5% game_9070XT=2%
04:43:09 doubler_9060XT=4% game_9070XT=6%
04:43:12 doubler_9060XT=33% game_9070XT=12%
04:43:15 doubler_9060XT=30% game_9070XT=15%
04:43:18 doubler_9060XT=30% game_9070XT=14%
04:43:21 doubler_9060XT=29% game_9070XT=13%
04:43:24 doubler_9060XT=30% game_9070XT=15%
04:43:27 doubler_9060XT=28% game_9070XT=15%
04:43:30 doubler_9060XT=33% game_9070XT=14%
04:43:33 doubler_9060XT=37% game_9070XT=16%
04:43:36 doubler_9060XT=38% game_9070XT=16%
04:43:39 doubler_9060XT=36% game_9070XT=15%
04:43:42 doubler_9060XT=32% game_9070XT=21%
04:43:45 doubler_9060XT=83% game_9070XT=60%
04:43:48 doubler_9060XT=99% game_9070XT=63%
04:43:51 doubler_9060XT=99% game_9070XT=30%
04:43:54 doubler_9060XT=49% game_9070XT=14%
04:43:57 doubler_9060XT=5% game_9070XT=0%
04:44:00 doubler_9060XT=23% game_9070XT=10%
04:44:03 doubler_9060XT=23% game_9070XT=8%
04:44:06 doubler_9060XT=5% game_9070XT=1%
04:44:10 doubler_9060XT=5% game_9070XT=0%
04:44:13 doubler_9060XT=5% game_9070XT=0%
04:44:16 doubler_9060XT=5% game_9070XT=0%
04:44:19 doubler_9060XT=4% game_9070XT=0%
04:44:22 doubler_9060XT=4% game_9070XT=0%
04:44:25 doubler_9060XT=5% game_9070XT=0%
04:44:28 doubler_9060XT=6% game_9070XT=0%
04:44:31 doubler_9060XT=5% game_9070XT=0%
04:44:34 doubler_9060XT=6% game_9070XT=0%
04:44:37 doubler_9060XT=4% game_9070XT=0%
04:44:40 doubler_9060XT=7% game_9070XT=1%
04:44:43 doubler_9060XT=5% game_9070XT=0%
04:44:46 doubler_9060XT=6% game_9070XT=7%
04:44:49 doubler_9060XT=5% game_9070XT=6%
04:44:52 doubler_9060XT=4% game_9070XT=3%
04:44:55 doubler_9060XT=6% game_9070XT=7%
04:44:58 doubler_9060XT=38% game_9070XT=15%
04:45:01 doubler_9060XT=30% game_9070XT=15%
04:45:04 doubler_9060XT=30% game_9070XT=13%
04:45:07 doubler_9060XT=29% game_9070XT=14%
04:45:10 doubler_9060XT=30% game_9070XT=15%
04:45:13 doubler_9060XT=11% game_9070XT=4%
04:45:16 doubler_9060XT=5% game_9070XT=0%
04:45:19 doubler_9060XT=9% game_9070XT=0%
04:45:22 doubler_9060XT=9% game_9070XT=0%
04:45:25 doubler_9060XT=8% game_9070XT=0%
04:45:28 doubler_9060XT=4% game_9070XT=0%
04:45:31 doubler_9060XT=4% game_9070XT=0%
04:45:34 doubler_9060XT=4% game_9070XT=0%
04:45:37 doubler_9060XT=4% game_9070XT=0%
04:45:40 doubler_9060XT=4% game_9070XT=0%
04:45:43 doubler_9060XT=6% game_9070XT=0%
04:45:46 doubler_9060XT=4% game_9070XT=0%
04:45:49 doubler_9060XT=4% game_9070XT=0%
04:45:52 doubler_9060XT=4% game_9070XT=0%
04:45:55 doubler_9060XT=5% game_9070XT=0%
04:45:58 doubler_9060XT=8% game_9070XT=0%
04:46:01 doubler_9060XT=5% game_9070XT=0%
04:46:04 doubler_9060XT=4% game_9070XT=0%
04:46:07 doubler_9060XT=4% game_9070XT=0%
04:46:10 doubler_9060XT=6% game_9070XT=0%
04:46:13 doubler_9060XT=6% game_9070XT=0%
04:46:16 doubler_9060XT=6% game_9070XT=0%
04:46:19 doubler_9060XT=7% game_9070XT=0%
04:46:22 doubler_9060XT=9% game_9070XT=0%
04:46:25 doubler_9060XT=7% game_9070XT=0%
04:46:28 doubler_9060XT=7% game_9070XT=0%
04:46:31 doubler_9060XT=6% game_9070XT=0%
04:46:34 doubler_9060XT=6% game_9070XT=0%
04:46:37 doubler_9060XT=6% game_9070XT=0%
04:46:40 doubler_9060XT=7% game_9070XT=0%
04:46:43 doubler_9060XT=6% game_9070XT=0%
04:46:46 doubler_9060XT=6% game_9070XT=0%
04:46:49 doubler_9060XT=6% game_9070XT=0%
04:46:52 doubler_9060XT=7% game_9070XT=0%
04:46:55 doubler_9060XT=6% game_9070XT=0%
04:46:58 doubler_9060XT=7% game_9070XT=0%
04:47:01 doubler_9060XT=7% game_9070XT=0%
04:47:04 doubler_9060XT=10% game_9070XT=0%
04:47:07 doubler_9060XT=8% game_9070XT=0%
04:47:10 doubler_9060XT=7% game_9070XT=0%
04:47:13 doubler_9060XT=10% game_9070XT=0%
04:47:16 doubler_9060XT=7% game_9070XT=0%
04:47:19 doubler_9060XT=7% game_9070XT=0%
04:47:22 doubler_9060XT=7% game_9070XT=0%
04:47:25 doubler_9060XT=8% game_9070XT=1%
04:47:28 doubler_9060XT=10% game_9070XT=0%
04:47:31 doubler_9060XT=7% game_9070XT=0%
04:47:34 doubler_9060XT=8% game_9070XT=0%
04:47:37 doubler_9060XT=8% game_9070XT=0%
04:47:40 doubler_9060XT=7% game_9070XT=0%
04:47:43 doubler_9060XT=15% game_9070XT=12%
04:47:46 doubler_9060XT=26% game_9070XT=29%
04:47:49 doubler_9060XT=26% game_9070XT=27%
04:47:52 doubler_9060XT=25% game_9070XT=25%
04:47:55 doubler_9060XT=7% game_9070XT=0%
